2023-05-07 21:18:12,884 | DEBUG:EL SERVIDOR http://192.168.1.75:3312/RPC2 ESTA LIBRE ... | ThreadPoolExecutor-0_1 | solicitud | 59|
2023-05-07 21:18:12,884 | DEBUG:RETORNANDO TEXTO CIFRADO AL CLIENTE ... | ThreadPoolExecutor-0_1 | solicitud | 61|
2023-05-07 21:18:15,447 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:18:22,522 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:18:29,690 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:18:36,863 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:18:44,033 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:18:51,199 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:18:58,354 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:19:19,400 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:19:26,507 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:19:47,528 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:19:54,661 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:20:15,685 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:20:22,739 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:20:43,790 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:20:50,892 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:21:11,928 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:21:19,049 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:21:40,073 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:21:47,219 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:22:08,274 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:22:15,378 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:22:38,930 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:22:45,998 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:23:07,051 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:23:14,100 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:23:35,148 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:23:42,201 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:24:03,252 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:24:10,285 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:24:31,328 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:24:38,433 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:24:59,464 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:25:06,598 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:25:27,645 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:25:34,763 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:25:55,807 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:26:02,846 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:26:23,910 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:26:30,982 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:26:52,032 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:26:59,131 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:27:20,196 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:27:27,294 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:27:48,341 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:27:55,509 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:28:16,556 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:28:23,624 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:28:44,656 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:28:51,780 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:29:12,826 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:29:19,937 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:29:40,989 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:29:48,091 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:30:09,123 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:30:16,166 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:30:37,205 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:30:44,308 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:31:05,337 | DEBUG:Servidor http://192.168.1.75:3312/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
2023-05-07 21:31:12,478 | DEBUG:Servidor http://192.168.1.183:3313/RPC2 caido | ThreadPoolExecutor-0_0 | Servidores | 23|
